rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Lab LCP 50.8s mobile,URGENT,Performance,Medium,2-5 days,5,10,yes,conversion,Lab Largest Contentful Paint of 50.8 seconds on mobile causes most visitors to bounce before seeing content.,Lab Largest Contentful Paint of 50.8 seconds on mobile causes most visitors to bounce before seeing content.,notes: Largest Contentful Paint ≤ 2500ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Largest Contentful Paint 50.8 s against a ‘good’ threshold of 2500ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_1_lab_lcp_50_8s_mobile.html
2,Conflicting coverage CTAs,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,Multiple different CTA labels for the same coverage-check action create ambiguity about the next step.,Multiple different CTA labels for the same coverage-check action create ambiguity about the next step.,"h1: Reliable Internet That Works Anywhere in the U.S.; cta: Single consistent CTA label, e.g., 'Check Coverage'; notes: Consolidate all coverage-check CTAs into one consistent label and action.",CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_conflicting_coverage_ctas.html
3,Headline omits unlimited promise,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"The primary headline fails to mention the unlimited data benefit, leaving a key differentiator unstated above the fold.","The primary headline fails to mention the unlimited data benefit, leaving a key differentiator unstated above the fold.",h1: Reliable Internet That Works Anywhere in the U.S. with Unlimited Data; notes: Add 'unlimited' to headline or hero subcopy.,"The page's main headline reads “Reliable Internet That Works Anywhere in the U.S”. | Message_match: promises_missing_from_headline: [""unlimited""]",Message Clarity,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_3_headline_omits_unlimited_promise.html
4,Lab TBT 3500ms mobile,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"Lab Total Blocking Time of 3,500 ms on mobile freezes the main thread, making the page unresponsive during load.","Lab Total Blocking Time of 3,500 ms on mobile freezes the main thread, making the page unresponsive during load.",notes: Total Blocking Time ≤ 200ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Total Blocking Time 3,500 ms against a ‘good’ threshold of 200ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_lab_tbt_3500ms_mobile.html
5,Lab CLS 0.265 mobile,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"Lab Cumulative Layout Shift of 0.265 on mobile causes layout jumps, leading to mis-taps on critical buttons.","Lab Cumulative Layout Shift of 0.265 on mobile causes layout jumps, leading to mis-taps on critical buttons.",notes: Cumulative Layout Shift ≤ 0.1 (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Cumulative Layout Shift 0.265 against a ‘good’ threshold of 0.1. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_5_lab_cls_0_265_mobile.html
6,Unlabeled form fields,HIGH,Pricing & Plans,Low,0.5-2 days,4,10,no,conversion,"Form fields lack visible labels, so visitors cannot tell what information is required before submitting.","Form fields lack visible labels, so visitors cannot tell what information is required before submitting.","notes: Add visible, persistent labels above each input.",Form fields on coverage and qualification forms have no visible labels.,Form & Interaction Friction,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_6_unlabeled_form_fields.html
7,Inconsistent price formatting,HIGH,Pricing & Plans,Low,0.5-2 days,4,10,no,trust,"The same plans display conflicting price formats and values across pages, undermining trust in cost clarity.","The same plans display conflicting price formats and values across pages, undermining trust in cost clarity.","notes: Standardize all price displays to a single format, e.g., $99.95/month, and remove or label $0.00 values.",Prices shown on the page: $99.95/month $129.95/month $99.95/Mo $99.95/month $129.95/month $99.95 | Prices shown on the page: $99.95/month $129.95/month $99.95/mo $0.00 $99.95 $99.99 | A section heading reads “$0.00 (one-time)”.,"Pricing & Cost Transparency, Navigation & Information Scent",0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_7_inconsistent_price_formatting.html
8,Duplicate form submissions,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,Two identical CONTINUE forms on the same page create competing submission points and confusion.,Two identical CONTINUE forms on the same page create competing submission points and confusion.,h1: Reliable Internet That Works Anywhere in the U.S.; cta: Single CONTINUE form; notes: Remove duplicate form to leave one clear submission path.,Two identical CONTINUE forms appear on the same page.,"Funnel Path, Form & Interaction Friction",0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_8_duplicate_form_submissions.html
9,Value prop buried under questions,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"The hero area leads with qualification questions instead of stating the product's value, delaying message clarity.","The hero area leads with qualification questions instead of stating the product's value, delaying message clarity.",h1: High-Speed Wireless Internet for Anywhere You Live or Travel; notes: Move questions below a concise value statement.,The page's main headline reads “Let's Get You the Right Internet”. | The page's main headline reads “What Best Describes Your Time on the Road?”. | The page's main headline reads “How Do You Use the Internet at Home?”.,Message Clarity,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_value_prop_buried_under_questions.html
10,Duplicate H1s dilute focus,MEDIUM,Pricing & Plans,Low,0.5-2 days,4,10,no,conversion,Multiple H1 headings on the same page fragment the primary message and weaken information scent.,Multiple H1 headings on the same page fragment the primary message and weaken information scent.,h1: Single H1 matching visitor intent; notes: Keep one H1 per page and demote others to H2s.,The page's main headline reads “Reliable Internet That Works Anywhere in the U.S”. | The page's main headline reads “Internet That Just Works”. | The page's main headline reads “Let's Get You the Right Internet”.,Navigation & Information Scent,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_duplicate_h1s_dilute_focus.html
